OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
34088,34262,FS-1475205,75.96,1215553440,53.91,1215604440,75.96,1215553440,50.66,1215516360,36.3,0.38,clear-day,0.22,0,0,,0,,1215518160,1215571320,76.46,1215553440,53.42,1215604440,76.46,1215553440,50.17,1215516360,1215496800,10,1215540420,14,12.83,1215550980,4.75,38.98,-108.2030556,-6,America/Denver
34153,34327,FS-1475293,75.36,1234904400,24.74,1234959720,75.36,1234904400,31.99,1234857480,29.36,0.49,wind,0.79,0,0,,0,,1234877100,1234916700,75.86,1234904400,32.32,1234959660,75.86,1234904400,39.84,1234857300,1234850400,0,1234850400,216,45.05,1234900380,16.58,35.63694444,-99.81916667,-6,America/Chicago
35250,35429,FS-1476716,74.61,1243709700,57.94,1243771020,74.61,1243709700,59.19,1243681260,37.99,0.36,rain,0.25,0.1345,2.7905,1243724400,0.94,rain,1243685820,1243736880,75.11,1243709700,57.45,1243771020,75.11,1243709700,58.7,1243681260,1243666800,0,1243666800,120,20.09,1243710000,7.04,33.2775,-110.7730556,-7,America/Phoenix
35454,35634,FS-1476970,63.87,1245023880,40.53,1245064440,63.87,1245023880,44.19,1244977500,26.4,0.38,rain,0.72,0.0004,0.0088,1244966400,0.87,rain,1244981340,1245034380,64.37,1245023880,40.04,1245064440,64.37,1245023880,43.7,1244977500,1244959200,12,1245006000,167,19,1245031140,2.9,37.54583333,-112.275,-6,America/Denver
35724,35904,FS-1477295,72.37,1238021940,38.2,1238074680,72.37,1238021940,29.33,1237989420,5.64,0.16,clear-day,0.98,0,0,,0,,1237987380,1238031660,72.87,1238021940,41.57,1238072760,72.87,1238021940,34.53,1237988760,1237964400,9,1238007840,282,21,1238025720,5.88,31.46194444,-111.1608333,-7,America/Phoenix
35891,36073,FS-1477481,74.5,1246834560,45.69,1246881660,74.5,1246834560,44.5,1246794780,34.57,0.43,clear-day,0.46,0,0,,0,,1246796160,1246849020,75,1246834560,45.2,1246881660,75,1246834560,45.47,1246797180,1246773600,12,1246822560,171,19.91,1246831200,4.46,37.76111111,-112.6527778,-6,America/Denver
35905,36087,FS-1477497,77.93,1247429880,50.66,1247490420,77.93,1247429880,55.24,1247387820,39.52,0.44,rain,0.67,0.0102,0.0444,1247389080,0.79,rain,1247400660,1247455560,78.43,1247429880,50.17,1247490420,78.43,1247429880,54.75,1247387820,1247378400,,,201,22.22,1247449920,4.27,44.155,-115.4133333,-6,America/Boise
36233,36416,FS-1477914,78.39,1247957340,54.56,1248005820,78.39,1247957340,51.97,1247922000,37.79,0.38,rain,0.88,0.0005,0.0042,1247961540,0.39,rain,1247921340,1247973240,78.89,1247957340,54.07,1248005820,78.89,1247957340,51.48,1247922000,1247900400,11,1247948280,222,21.84,1247954580,4.47,37.26805556,-118.5838889,-7,America/Los_Angeles
36291,36475,FS-1477982,81.76,1248116280,56.06,1248180600,81.76,1248116280,61.02,1248152340,55.53,0.67,rain,0.96,0.0115,0.206,1248130800,0.91,rain,1248092940,1248143760,82.26,1248116280,55.57,1248180600,82.26,1248116280,60.31,1248152340,1248073200,0,1248073200,299,15.16,1248126360,2.79,34.42972222,-111.2352778,-7,America/Phoenix
36335,36519,FS-1478028,88.7,1241647440,51.67,1241699760,88.7,1241647440,49.82,1241613360,25.12,0.2,clear-day,0.43,0,0,,0,,1241613180,1241662020,89.2,1241647440,51.18,1241699760,89.2,1241647440,49.33,1241613360,1241593200,12,1241636520,281,18.48,1241657280,4.67,31.55805556,-110.5133333,-7,America/Phoenix
