OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
230943,235011,W-30212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9334,-105.9672,-6,America/Denver
230958,235026,W-30240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5334,-106.8339,-6,America/Denver
231038,235107,W-1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.334,-108.8673,-7,America/Hermosillo
231196,235270,W-35561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2168,-103.4505,-6,America/Denver
231333,235410,W-30418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8568,-104.8655,-6,America/Denver
231366,235444,W-24445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8501,-104.9839,-6,America/Denver
231621,235705,W-40373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5832,-118.5344,-7,America/Los_Angeles
231811,235897,W-18909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3999,-118.8294,-7,America/Los_Angeles
231817,235903,W-18916,91.58,838764120,47.94,838817700,91.58,838764120,49.39,838730940,47.64,0.46,rain,0.53,0.0001,0.0004,838790400,1,rain,838730700,838783200,92.08,838764120,49.05,838817460,92.08,838764120,48.9,838730940,838710000,10,838756860,286,,,6.52,43.1702,-118.7841,-7,America/Los_Angeles
231818,235904,W-18917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2202,-119.4397,-7,America/Los_Angeles
232907,237012,W-40751,91.41,712883340,57.25,712936380,91.41,712883340,57.25,712843740,46.62,0.4,clear-day,0.21,0,0,,0,,712847340,712899060,91.91,712883340,56.76,712936380,91.91,712883340,56.76,712843740,712825200,9,712873080,332,,,4.89,42.4998,-123.1845,-7,America/Los_Angeles
233354,237469,W-40924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0832,-121.0345,-7,America/Los_Angeles
233474,237594,W-30835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3832,-120.5178,-7,America/Los_Angeles
